Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FO","Forestry Production and Trade","120","Cameroon","5516","Production","1627","Wood fuel, coniferous","2000","2000","m3","0","E","Estimated value",""
"FO","Forestry Production and Trade","120","Cameroon","5516","Production","1627","Wood fuel, coniferous","2001","2001","m3","0","E","Estimated value",""
"FO","Forestry Production and Trade","120","Cameroon","5516","Production","1627","Wood fuel, coniferous","2002","2002","m3","0","E","Estimated value",""
"FO","Forestry Production and Trade","120","Cameroon","5516","Production","1627","Wood fuel, coniferous","2003","2003","m3","0","E","Estimated value",""
"FO","Forestry Production and Trade","120","Cameroon","5516","Production","1627","Wood fuel, coniferous","2004","2004","m3","0","E","Estimated value",""
"FO","Forestry Production and Trade","120","Cameroon","5516","Production","1627","Wood fuel, coniferous","2005","2005","m3","0","E","Estimated value",""
"FO","Forestry Production and Trade","120","Cameroon","5516","Production","1627","Wood fuel, coniferous","2006","2006","m3","0","E","Estimated value",""
"FO","Forestry Production and Trade","120","Cameroon","5516","Production","1627","Wood fuel, coniferous","2007","2007","m3","0","E","Estimated value",""
"FO","Forestry Production and Trade","120","Cameroon","5516","Production","1627","Wood fuel, coniferous","2008","2008","m3","0","E","Estimated value",""
"FO","Forestry Production and Trade","120","Cameroon","5516","Production","1627","Wood fuel, coniferous","2009","2009","m3","0","E","Estimated value",""
"FO","Forestry Production and Trade","120","Cameroon","5516","Production","1627","Wood fuel, coniferous","2010","2010","m3","0","E","Estimated value",""
"FO","Forestry Production and Trade","120","Cameroon","5516","Production","1627","Wood fuel, coniferous","2011","2011","m3","0","E","Estimated value",""
"FO","Forestry Production and Trade","120","Cameroon","5516","Production","1627","Wood fuel, coniferous","2012","2012","m3","0","E","Estimated value",""
"FO","Forestry Production and Trade","120","Cameroon","5516","Production","1627","Wood fuel, coniferous","2013","2013","m3","0","E","Estimated value",""
"FO","Forestry Production and Trade","120","Cameroon","5516","Production","1627","Wood fuel, coniferous","2014","2014","m3","0","E","Estimated value",""
"FO","Forestry Production and Trade","120","Cameroon","5516","Production","1627","Wood fuel, coniferous","2015","2015","m3","0","E","Estimated value",""
"FO","Forestry Production and Trade","120","Cameroon","5516","Production","1627","Wood fuel, coniferous","2016","2016","m3","0","E","Estimated value",""
"FO","Forestry Production and Trade","120","Cameroon","5516","Production","1627","Wood fuel, coniferous","2017","2017","m3","0","E","Estimated value",""
"FO","Forestry Production and Trade","120","Cameroon","5516","Production","1627","Wood fuel, coniferous","2018","2018","m3","0","E","Estimated value",""
"FO","Forestry Production and Trade","120","Cameroon","5516","Production","1627","Wood fuel, coniferous","2019","2019","m3","0","E","Estimated value",""
"FO","Forestry Production and Trade","120","Cameroon","5516","Production","1627","Wood fuel, coniferous","2020","2020","m3","0","E","Estimated value",""
"FO","Forestry Production and Trade","120","Cameroon","5516","Production","1627","Wood fuel, coniferous","2021","2021","m3","0","E","Estimated value",""
"FO","Forestry Production and Trade","120","Cameroon","5516","Production","1627","Wood fuel, coniferous","2022","2022","m3","0","E","Estimated value",""
"FO","Forestry Production and Trade","120","Cameroon","5516","Production","1627","Wood fuel, coniferous","2023","2023","m3","0","E","Estimated value",""
"FO","Forestry Production and Trade","120","Cameroon","5516","Production","1628","Wood fuel, non-coniferous","2000","2000","m3","9111347","E","Estimated value",""
"FO","Forestry Production and Trade","120","Cameroon","5516","Production","1628","Wood fuel, non-coniferous","2001","2001","m3","9182669","E","Estimated value",""
"FO","Forestry Production and Trade","120","Cameroon","5516","Production","1628","Wood fuel, non-coniferous","2002","2002","m3","9255659","E","Estimated value",""
"FO","Forestry Production and Trade","120","Cameroon","5516","Production","1628","Wood fuel, non-coniferous","2003","2003","m3","9330353","E","Estimated value",""
"FO","Forestry Production and Trade","120","Cameroon","5516","Production","1628","Wood fuel, non-coniferous","2004","2004","m3","9406789","E","Estimated value",""
"FO","Forestry Production and Trade","120","Cameroon","5516","Production","1628","Wood fuel, non-coniferous","2005","2005","m3","9485004","E","Estimated value",""
"FO","Forestry Production and Trade","120","Cameroon","5516","Production","1628","Wood fuel, non-coniferous","2006","2006","m3","9565824","E","Estimated value",""
"FO","Forestry Production and Trade","120","Cameroon","5516","Production","1628","Wood fuel, non-coniferous","2007","2007","m3","9648000","E","Estimated value",""
"FO","Forestry Production and Trade","120","Cameroon","5516","Production","1628","Wood fuel, non-coniferous","2008","2008","m3","9732500","E","Estimated value",""
"FO","Forestry Production and Trade","120","Cameroon","5516","Production","1628","Wood fuel, non-coniferous","2009","2009","m3","9818344","E","Estimated value",""
"FO","Forestry Production and Trade","120","Cameroon","5516","Production","1628","Wood fuel, non-coniferous","2010","2010","m3","9905983","E","Estimated value",""
"FO","Forestry Production and Trade","120","Cameroon","5516","Production","1628","Wood fuel, non-coniferous","2011","2011","m3","9992570","E","Estimated value",""
"FO","Forestry Production and Trade","120","Cameroon","5516","Production","1628","Wood fuel, non-coniferous","2012","2012","m3","10080710","E","Estimated value",""
"FO","Forestry Production and Trade","120","Cameroon","5516","Production","1628","Wood fuel, non-coniferous","2013","2013","m3","10170432","E","Estimated value",""
"FO","Forestry Production and Trade","120","Cameroon","5516","Production","1628","Wood fuel, non-coniferous","2014","2014","m3","10261763","E","Estimated value",""
"FO","Forestry Production and Trade","120","Cameroon","5516","Production","1628","Wood fuel, non-coniferous","2015","2015","m3","10354732","E","Estimated value",""
"FO","Forestry Production and Trade","120","Cameroon","5516","Production","1628","Wood fuel, non-coniferous","2016","2016","m3","10425659","E","Estimated value",""
"FO","Forestry Production and Trade","120","Cameroon","5516","Production","1628","Wood fuel, non-coniferous","2017","2017","m3","10497823","E","Estimated value",""
"FO","Forestry Production and Trade","120","Cameroon","5516","Production","1628","Wood fuel, non-coniferous","2018","2018","m3","10571241","E","Estimated value",""
"FO","Forestry Production and Trade","120","Cameroon","5516","Production","1628","Wood fuel, non-coniferous","2019","2019","m3","10645933","E","Estimated value",""
"FO","Forestry Production and Trade","120","Cameroon","5516","Production","1628","Wood fuel, non-coniferous","2020","2020","m3","10721915","E","Estimated value",""
"FO","Forestry Production and Trade","120","Cameroon","5516","Production","1628","Wood fuel, non-coniferous","2021","2021","m3","10801425","E","Estimated value",""
"FO","Forestry Production and Trade","120","Cameroon","5516","Production","1628","Wood fuel, non-coniferous","2022","2022","m3","10882238","E","Estimated value",""
"FO","Forestry Production and Trade","120","Cameroon","5516","Production","1628","Wood fuel, non-coniferous","2023","2023","m3","10964371","E","Estimated value",""
